ID	task	constellation
4969123	E-Books	Deliberative
4969170	E-Books	Deliberative
5003413	E-Books	Deliberative
5003426	E-Books	Deliberative
5411531	Fast Food	Undecided
5411749	Fast Food	Undecided
5411757	Fast Food	One-sided
5416048	Fast Food	Undecided
5419952	Fast Food	Deliberative
5514195	Fast Food	Undecided
5514199	Fast Food	Undecided
5537104	Fast Food	Deliberative
5538968	Fast Food	Deliberative
5543776	Fast Food	Deliberative
5562395	Fast Food	Deliberative
5562403	Fast Food	Deliberative
5562416	Fast Food	Deliberative
5917698	performing arts	Deliberative
5926491	performing arts	Deliberative
5926498	performing arts	Deliberative
5938744	performing arts	Undecided
6019061	performing arts	Deliberative
6019065	performing arts	Deliberative
6040460	performing arts	Deliberative
6074614	performing arts	Deliberative
6104310	performing arts	Deliberative
6143501	performing arts	Undecided
6156093	performing arts	Undecided
6156094	performing arts	Deliberative
6366082	performing arts	Deliberative
6367016	Voluntary Work	Deliberative
6367020	Voluntary Work	Undecided
6378737	Voluntary Work	Undecided
6378742	Voluntary Work	Deliberative
6378743	Voluntary Work	Undecided
6378747	Voluntary Work	Undecided
6391088	Voluntary Work	Deliberative
6430806	Voluntary Work	Undecided
6460303	Voluntary Work	Deliberative
6460325	Voluntary Work	Deliberative
6470672	Voluntary Work	Undecided
6490189	Voluntary Work	Deliberative
6490200	Voluntary Work	Deliberative
6490213	Voluntary Work	Undecided
6494735	Voluntary Work	Undecided
6494739	Voluntary Work	Deliberative
6494754	Voluntary Work	Deliberative
6494756	Voluntary Work	Deliberative
6494768	Voluntary Work	Deliberative
6502488	Voluntary Work	Undecided
