Nr.|Text|ADD|AUF|FKT|REL|ZIE|THE|KON
X|||||||ARTS|ABW
0|In einigen Bundesländern wird diskutiert, ob man das Fach DS für alle Schüler und Schülerinnen ab dem 7 Jahrgang als ein Pflicht Fach ein zuführen.|N|EIN|WHG||||
1|Ich habe in meiner Schule Schüler nach ihren Meinungen gefragt.|N|EIN|AHG||||
2|Nun werde ich einen Artikel dazu schreiben, um euch Argumente für beide Seiten zu geben.|N|EIN|GLD||||
3|Einige waren der Ansicht ,dass das Fach DS für die siebte Jahrgangsstufe verpflichtet werden soll.|N|HAU|TH2||||
4|Wichtig fanden sie, dass sie im Schauspieler gut sind und könnten so leicht eine gute Note bekommen.|N|HAU|CON||||
5|Sie erklärten das mit der Begründung das einige besser in Sport sind andere wiederum in Mathe, diese Schüler haben ihre Stärken im Schauspielern.|N|HAU|CON||||
6|Ein häufig genannter Grund ist auch, dass viele ihr Fantasie ausleben können|N|HAU|CON||||
7|und es ihnen deswegen Spaß macht in jemand andern zu schüpfen.|N|HAU|CON||||
8|Zum Beispiel könnten sie einmal ein verrückter Wissenschaftler sein oder ein mutigen Polizist.|N|HAU|CON||||
9|Die meisten Leute mögen es sich als andere Leute auszugeben.|N|HAU|CON||||
10|Manche Schüler haben kein Problem auf der Bühne zu stehen.|N|HAU|CON||||
11|Sie lieben die Aufmerksam|N|HAU|CON||||
12|und haben keine Scheu vor Publikum aufzutreten.|N|HAU|CON||||
13|Wenn Schauspieler sie auch noh begeistert ist das die perfekte Möglichkeit etwas neues auszuprobieren.|N|HAU|CON||||
14|Andere sagen wiederum das man sie nicht zwingen sollte das Fach DS zu machen.|N|HAU|TH1||||
15|Bedeutend finde ich das Schauspieler nicht jeder kann,|N|HAU|PRO||||
16|wie schon gesagt können manche besser Sport, manche besser Mathe, diese Schüler haben ihre Schwächen im Schauspielern.|N|HAU|PRO||||
17|Wichtiger ist das niemand gezwungen werden sollte ein Fach zu Belegen|N|HAU|PRO||||
18|was nicht so wichtig ist wie im Vergleich mit Englisch.|N|HAU|PRO||||
19|Englisch ist wichtiger als Darstellendes Spiel, weil es die Weltsprache ist und man sie sprechen können muss.|N|HAU|PRO||||
20|weil es die Weltsprache ist und man sie sprechen können muss.|N|HAU|PRO||||
21|Schwerwiegender ist das einige Schüler sich unwohl auf einer Bühne fühlen oder vor großem Publikum zu stehen.|N|HAU|PRO||||
22|Schüchterne Schüler oder Schüler mit einer Sozialen Phobie fühlen sich auch schon so unbehagen, wenn sie nur ein Vortrag halten müssen oder sich nur zu Wort melden müssen im Unterricht.|N|HAU|PRO||||
23|Allgemein kann man sagen das viele Schüler finden, dass wenn man das Fach DS als Pflichtfach hat, dass man ganz leicht gute Noten bekommen kann|N|SCH|CON||||
24|und das man was neues machen kann.|N|SCH|CON||||
25|Im Gegenzug gibt es aber auch Personen die ihre Schwächen im Schauspielen haben|N|SCH|CON||||
26|und sich eigentlich nur unbehagen fühlen, wenn sie vor Publikum stehen oder auch auf der Bühne.|N|SCH|CON||||
27|Ich bin gegen die Verpflichtung von dem DS Fach,|N|SCH|ZTH||||
28|weil ich persönlich mich nicht wohlfühle vor Mensche zu stehen, wenn ihre ganze Aufmerksamkeit auf mich gerichtet ist.|N|SCH|PRO||||
29|Ich würde empfehlen, dass jede Schule über die Alternative nachdenken soll, dass Fach DS als AG weiter anzubieten.|N|SCH|SON||||
